"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2019","26,434.00","26,384.21","26,445.80","26,332.35","180.06M","0.19%"
"Dec 10, 2019","26,384.21","26,705.70","26,716.38","26,383.36","196.29M","-1.11%"
"Dec 09, 2019","26,681.31","26,855.52","26,855.52","26,582.25","192.67M","-0.65%"
"Dec 06, 2019","26,855.52","26,913.70","26,926.72","26,746.03","197.03M","-0.22%"
"Dec 05, 2019","26,913.70","26,941.56","26,948.42","26,889.48","206.73M","-0.09%"
"Dec 04, 2019","26,938.58","26,944.32","26,956.43","26,918.12","112.88M","-0.02%"
"Dec 03, 2019","26,944.32","27,000.35","27,030.98","26,833.39","189.01M","-0.17%"
"Dec 02, 2019","26,990.59","26,999.69","27,025.20","26,931.13","246.49M","-0.04%"
"Nov 29, 2019","27,002.15","26,824.50","27,028.05","26,823.81","227.16M","0.66%"
"Nov 28, 2019","26,824.50","26,790.10","26,863.97","26,790.10","303.77M","0.13%"
"Nov 27, 2019","26,790.10","26,883.33","26,893.32","26,782.84","189.86M","-0.35%"
"Nov 26, 2019","26,883.33","27,035.78","27,096.53","26,883.33","209.97M","-0.56%"
"Nov 25, 2019","27,035.78","26,991.42","27,109.29","26,980.27","230.65M","0.16%"
"Nov 22, 2019","26,991.42","26,872.09","27,039.80","26,849.26","207.26M","0.44%"
"Nov 21, 2019","26,872.09","26,776.15","26,872.09","26,721.99","239.22M","0.36%"
"Nov 20, 2019","26,776.15","26,750.49","27,035.28","26,750.49","267.31M","0.14%"
"Nov 19, 2019","26,739.44","26,691.09","26,861.14","26,659.90","394.35M","0.18%"
"Nov 18, 2019","26,691.09","26,851.68","26,851.68","26,666.40","307.88M","-0.60%"
"Nov 15, 2019","26,851.68","26,883.67","26,984.06","26,724.43","469.99M","0.03%"
"Nov 14, 2019","26,843.11","26,339.11","26,843.11","26,339.11","624.84M","1.84%"
"Nov 13, 2019","26,357.61","26,456.39","26,456.39","26,338.25","610.56M","-0.37%"
"Nov 12, 2019","26,456.39","26,314.49","26,512.60","26,314.49","378.35M","0.54%"
"Nov 08, 2019","26,314.49","26,188.24","26,333.84","26,143.12","432.47M","0.48%"
"Nov 07, 2019","26,188.24","26,223.66","26,242.53","26,172.35","726.19M","-0.14%"
"Nov 06, 2019","26,223.66","26,364.81","26,367.19","26,223.66","232.09M","-0.58%"
"Nov 05, 2019","26,375.35","26,401.06","26,447.96","26,299.86","304.28M","-0.10%"
"Nov 04, 2019","26,401.06","26,293.30","26,433.95","26,293.30","368.18M","0.41%"
"Nov 01, 2019","26,293.30","26,355.35","26,378.00","26,217.91","252.37M","-0.24%"
"Oct 31, 2019","26,355.35","26,310.77","26,363.10","26,227.60","347.80M","0.17%"
"Oct 30, 2019","26,310.77","26,236.04","26,385.37","26,199.51","156.85M","0.25%"
"Oct 29, 2019","26,244.39","26,384.45","26,388.40","26,244.39","267.90M","-0.53%"
"Oct 28, 2019","26,384.45","26,348.73","26,394.37","26,348.73","485.89M","0.14%"
"Oct 25, 2019","26,348.73","26,357.24","26,360.20","26,113.88","250.54M","-0.03%"
"Oct 24, 2019","26,357.24","26,397.94","26,410.84","26,350.07","177.04M","-0.15%"
"Oct 23, 2019","26,397.94","26,365.83","26,410.91","26,294.57","168.43M","0.12%"
"Oct 22, 2019","26,365.83","26,390.08","26,409.34","26,353.55","519.76M","-0.09%"
"Oct 21, 2019","26,390.08","26,448.62","26,449.53","26,382.21","135.80M","-0.22%"
"Oct 18, 2019","26,448.62","26,456.29","26,464.61","26,374.84","310.56M","-0.03%"
"Oct 17, 2019","26,456.29","26,472.20","26,472.20","26,429.94","144.08M","-0.06%"
"Oct 16, 2019","26,472.20","26,513.65","26,574.38","26,470.68","138.47M","-0.16%"
"Oct 15, 2019","26,513.65","26,557.44","26,567.67","26,510.14","174.41M","-0.16%"
"Oct 14, 2019","26,557.44","26,533.78","26,607.06","26,506.56","129.08M","0.09%"
"Oct 11, 2019","26,533.78","26,583.75","26,702.39","26,533.14","117.38M","-0.19%"
"Oct 10, 2019","26,583.75","26,598.94","26,599.87","26,578.03","363.25M","-0.06%"
"Oct 09, 2019","26,598.94","26,817.30","26,817.30","26,489.42","243.01M","-0.79%"
"Oct 08, 2019","26,809.92","26,866.41","26,896.09","26,809.30","185.94M","-0.21%"
"Oct 07, 2019","26,866.41","26,987.45","27,004.48","26,835.58","151.71M","-0.45%"
"Oct 04, 2019","26,987.45","27,085.69","27,089.38","26,974.83","138.88M","-0.36%"
"Oct 03, 2019","27,085.69","27,314.87","27,480.30","26,575.54","151.19M","-0.84%"
"Oct 02, 2019","27,314.87","27,630.56","27,645.40","27,261.25","175.55M","-1.14%"
"Sep 30, 2019","27,630.56","27,675.04","27,693.29","27,113.91","194.80M","-0.16%"
"Sep 27, 2019","27,675.04","27,579.85","27,675.04","27,368.84","187.08M","0.35%"
"Sep 26, 2019","27,579.85","27,283.05","27,579.85","27,281.38","183.46M","1.09%"
"Sep 25, 2019","27,283.05","27,360.45","27,371.59","27,267.16","462.31M","-0.25%"
"Sep 24, 2019","27,352.24","27,635.68","27,635.68","27,352.24","154.03M","-1.08%"
"Sep 23, 2019","27,650.28","27,698.69","27,704.62","27,650.82","109.56M","-0.17%"
"Sep 20, 2019","27,698.69","27,667.31","27,715.27","27,576.27","177.41M","0.19%"
"Sep 19, 2019","27,646.15","27,681.61","27,698.44","27,577.69","245.43M","-0.13%"
"Sep 18, 2019","27,681.61","27,407.04","27,700.07","27,386.36","378.80M","1.00%"
"Sep 17, 2019","27,407.04","27,574.32","27,646.96","27,371.89","196.91M","-0.61%"
"Sep 16, 2019","27,574.32","27,779.00","27,984.08","27,538.33","268.35M","-0.74%"
"Sep 13, 2019","27,779.00","27,426.64","27,779.73","27,426.64","165.24M","1.28%"
"Sep 12, 2019","27,426.64","27,153.53","27,439.54","27,142.88","115.30M","1.01%"
"Sep 11, 2019","27,153.53","27,047.58","27,157.66","27,009.52","211.52M","0.39%"
"Sep 10, 2019","27,047.58","27,089.84","27,148.69","26,977.36","364.22M","-0.16%"
"Sep 09, 2019","27,089.84","27,146.57","27,231.76","27,086.61","290.49M","-0.21%"
"Sep 06, 2019","27,146.57","27,252.09","27,582.15","26,895.56","311.26M","-0.39%"
"Sep 05, 2019","27,252.09","27,319.64","27,319.64","27,273.14","133.34M","-0.25%"
"Sep 04, 2019","27,319.64","27,590.44","27,606.85","27,283.67","250.45M","-0.97%"
"Sep 03, 2019","27,586.79","27,565.09","27,606.28","27,481.18","294.40M","0.08%"
